panel,figure_item,role_in_argument,what_to_read,key_value,unit,note
A,Input acceleration a(t),kinematic baseline,upstream acceleration peak magnitude,0.41569504,g,baseline input motion; not a Power quantity
B,Acceleration frequency group,frequency baseline,top local acceleration frequency peaks,2.749;3.124;7.247;4.623;5.248;1.249;3.873;0.250,Hz,local window around QSM packet peak
C,Input velocity v(t),kinematic baseline,upstream velocity peak magnitude,0.5374288343268443,m/s,velocity layer before QSM Power conversion
D,Velocity frequency group,frequency baseline,top local velocity frequency peaks,0.250;0.750;1.249;2.749;1.999;3.124;2.374;1.749,Hz,local window around QSM packet peak
E,Input-side QSM Power P(t)=a(t)v(t),Power viewpoint transformation,instantaneous input-side QSM Power shock,1.3385050456944825,W/kg,a(t) and v(t) are multiplied into an upstream Power proxy
F,QSM Power frequency group,Power frequency-group map,QSM Power peaks kept as a group,2.749;4.873;3.124;7.247;1.749;0.875;5.748;1.249,Hz,frequency group is not compressed into a scalar score
G,QSM Power packet,upstream Power packet,1s ∫|a·v|dt and lag to IsoDisp peak,0.327381; lag=3.71484,J/kg; s,positive lag means IsoDisp peak occurs after QSM packet peak
H,Interface Power / Work exchange,measured interface exchange,1s ∫|F·v_rel|dt and lag to IsoDisp peak,10.053; lag=5.20312,kJ; s,measured exchange layer at the isolation interface
I,Upper-lower displacement response,measured response,upper-lower isolation displacement peak and peak time,885.265; t=59.3672,mm; s,response variable used in summary figures
J,QSM / Interface / IsoDisp frequency-group closure,frequency-domain closure map,"Compare QSM Power, interface Power, and measured IsoDisp response peaks with effective isolation-frequency group lines",QSM=2.749;4.873;3.124;7.247;1.749;0.875;5.748;1.249 | Interface=0.250;0.875;1.249;0.625;2.749;1.749;1.999;2.499 | IsoDisp=0.125;0.250;0.375;0.500,Hz,"relation map: x=frequency, y=relative amplitude; no scalar compression"
