panel,figure_item,role_in_argument,what_to_read,key_value,unit,note
A,Input acceleration a(t),kinematic baseline,upstream acceleration peak magnitude,0.42826745,g,baseline input motion; not a Power quantity
B,Acceleration frequency group,frequency baseline,top local acceleration frequency peaks,3.249;1.624;4.373;1.125;2.624;2.249;0.500;0.250,Hz,local window around QSM packet peak
C,Input velocity v(t),kinematic baseline,upstream velocity peak magnitude,0.9898159427838413,m/s,velocity layer before QSM Power conversion
D,Velocity frequency group,frequency baseline,top local velocity frequency peaks,1.624;1.125;3.249,Hz,local window around QSM packet peak
E,Input-side QSM Power P(t)=a(t)v(t),Power viewpoint transformation,instantaneous input-side QSM Power shock,2.004314814314987,W/kg,a(t) and v(t) are multiplied into an upstream Power proxy
F,QSM Power frequency group,Power frequency-group map,QSM Power peaks kept as a group,3.249;4.373;1.749;2.624;1.125;2.124;0.500;4.998,Hz,frequency group is not compressed into a scalar score
G,QSM Power packet,upstream Power packet,1s ∫|a·v|dt and lag to IsoDisp peak,0.70915; lag=-2.09375,J/kg; s,positive lag means IsoDisp peak occurs after QSM packet peak
H,Interface Power / Work exchange,measured interface exchange,1s ∫|F·v_rel|dt and lag to IsoDisp peak,15.2571; lag=1.78125,kJ; s,measured exchange layer at the isolation interface
I,Upper-lower displacement response,measured response,upper-lower isolation displacement peak and peak time,454.161; t=3.35938,mm; s,response variable used in summary figures
J,QSM / Interface / IsoDisp frequency-group closure,frequency-domain closure map,"Compare QSM Power, interface Power, and measured IsoDisp response peaks with effective isolation-frequency group lines",QSM=3.249;4.373;1.749;2.624;1.125;2.124;0.500;4.998 | Interface=0.896;1.792 | IsoDisp=0.136;0.272;0.407,Hz,"relation map: x=frequency, y=relative amplitude; no scalar compression"
